date,actual,forecast,train,test,lower_bound,upper_bound
2022-01-01,20205.0,20010,20205.0,,19252,20515
2022-01-02,20043.0,21187,20043.0,,20495,22112
2022-01-03,21100.0,19403,21100.0,,18527,20177
2022-01-04,19830.0,18876,19830.0,,18242,19445
2022-01-05,20092.0,20684,20092.0,,19960,21640
2022-01-06,20309.0,19526,20309.0,,18585,20401
2022-01-07,20186.0,20958,20186.0,,20123,21539
2022-01-08,20903.0,19664,20903.0,,19112,20227
2022-01-09,21538.0,22296,21538.0,,21472,23177
2022-01-10,20580.0,20597,20580.0,,19888,21593
2022-01-11,21563.0,21971,21563.0,,21150,22929
2022-01-12,20901.0,20951,20901.0,,20340,21560
2022-01-13,21689.0,21701,21689.0,,21147,22617
2022-01-14,21442.0,22023,21442.0,,21068,22985
2022-01-15,21896.0,21179,21896.0,,20272,21842
2022-01-16,20565.0,22793,20565.0,,22172,23527
2022-01-17,20625.0,21302,20625.0,,20348,22010
2022-01-18,21924.0,20423,21924.0,,19686,21383
2022-01-19,21748.0,23185,21748.0,,22492,23687
2022-01-20,21104.0,21088,21104.0,,20392,21605
2022-01-21,21541.0,22063,21541.0,,21433,22797
2022-01-22,21729.0,23325,21729.0,,22716,23958
2022-01-23,23124.0,22291,23124.0,,21602,23223
2022-01-24,22961.0,22753,22961.0,,22030,23525
2022-01-25,22026.0,21357,22026.0,,20569,22330
2022-01-26,22038.0,21610,22038.0,,20903,22502
2022-01-27,21858.0,24079,21858.0,,23337,24739
2022-01-28,21722.0,22110,21722.0,,21479,22719
2022-01-29,22401.0,22222,22401.0,,21419,23206
2022-01-30,23326.0,23967,23326.0,,23406,24588
2022-01-31,23028.0,22821,23028.0,,22305,23740
2022-02-01,23811.0,23113,23811.0,,22151,24010
2022-02-02,23479.0,23898,23479.0,,23017,24433
2022-02-03,23243.0,24133,23243.0,,23536,24898
2022-02-04,23031.0,24749,23031.0,,24042,25735
2022-02-05,22702.0,24234,22702.0,,23680,24926
2022-02-06,24519.0,25086,24519.0,,24511,26052
2022-02-07,24684.0,24225,24684.0,,23723,24796
2022-02-08,24441.0,24659,24441.0,,23841,25368
2022-02-09,23297.0,24078,23297.0,,23535,24772
2022-02-10,23222.0,22593,23222.0,,22081,23160
2022-02-11,24477.0,23829,24477.0,,23281,24769
2022-02-12,24738.0,22707,24738.0,,22154,23623
2022-02-13,24234.0,25168,24234.0,,24257,25759
2022-02-14,24760.0,24119,24760.0,,23433,24986
2022-02-15,24360.0,23244,24360.0,,22532,23966
2022-02-16,25390.0,23591,25390.0,,22878,24210
2022-02-17,23860.0,24458,23860.0,,23765,25089
2022-02-18,25270.0,24595,25270.0,,24015,25409
2022-02-19,24833.0,25386,24833.0,,24656,26202
2022-02-20,25162.0,26067,25162.0,,25397,26997
2022-02-21,25903.0,24853,25903.0,,23934,25625
2022-02-22,24620.0,26528,24620.0,,25746,27475
2022-02-23,25733.0,26395,25733.0,,25531,26969
2022-02-24,25582.0,25230,25582.0,,24445,25811
2022-02-25,24951.0,25471,24951.0,,24476,26018
2022-02-26,26156.0,26508,26156.0,,25701,27164
2022-02-27,26304.0,27093,26304.0,,26130,27894
2022-02-28,24838.0,25421,24838.0,,24845,26137
2022-03-01,25339.0,27199,25339.0,,26462,27876
2022-03-02,25697.0,25636,25697.0,,25067,26615
2022-03-03,25174.0,25693,25174.0,,24897,26535
2022-03-04,25710.0,26745,25710.0,,26096,27712
2022-03-05,26097.0,25106,26097.0,,24470,25825
2022-03-06,27352.0,27545,27352.0,,26583,28108
2022-03-07,26925.0,27857,26925.0,,27271,28601
2022-03-08,26167.0,25413,26167.0,,24533,26095
2022-03-09,27428.0,26316,27428.0,,25327,26918
2022-03-10,26732.0,26900,26732.0,,26138,27418
2022-03-11,26908.0,27969,26908.0,,27040,28895
2022-03-12,27373.0,27732,27373.0,,26849,28595
2022-03-13,27470.0,25690,27470.0,,25162,26349
2022-03-14,27829.0,27034,27829.0,,26161,27949
2022-03-15,26835.0,27940,26835.0,,27176,28462
2022-03-16,27611.0,28513,27611.0,,27839,29441
2022-03-17,28014.0,27515,28014.0,,26972,28099
2022-03-18,28054.0,27525,28054.0,,26776,28245
2022-03-19,27169.0,26813,27169.0,,26287,27455
2022-03-20,27200.0,26342,27200.0,,25435,27046
2022-03-21,28214.0,29074,28214.0,,28366,29823
2022-03-22,27663.0,28434,,27663.0,27779,29106
2022-03-23,28705.0,29225,,28705.0,28335,30125
2022-03-24,27509.0,29042,,27509.0,28519,29888
2022-03-25,27387.0,27655,,27387.0,27115,28304
2022-03-26,27758.0,29304,,27758.0,28654,30099
2022-03-27,27671.0,28951,,27671.0,28279,29637
2022-03-28,27705.0,29711,,27705.0,29074,30377
2022-03-29,28393.0,29292,,28393.0,28521,30133
2022-03-30,28283.0,29873,,28283.0,28968,30442
2022-03-31,28496.0,28502,,28496.0,27877,29311
2022-04-01,28720.0,28224,,28720.0,27498,29030
2022-04-02,29811.0,29837,,29811.0,28905,30824
2022-04-03,29798.0,29179,,29798.0,28228,29701
2022-04-04,29439.0,30170,,29439.0,29365,30886
2022-04-05,30329.0,30360,,30329.0,29518,31121
2022-04-06,28619.0,29355,,28619.0,28546,30042
2022-04-07,30346.0,29001,,30346.0,28437,29778
2022-04-08,29183.0,30349,,29183.0,29452,30869
2022-04-09,30077.0,30887,,30077.0,29917,31881
2022-04-10,30045.0,30524,,30045.0,29982,31372
